product_name,product_qty,product_price
Savlon Gel Hand Sanitizer,100 ml,Rs.45
Trust Hand Sanitizer (Bottle) - Buy 1 Get 1 Free,2x200 ml,Rs.100
Savlon Liquid Hand Sanitizer,500 ml,Rs.202
O'range - Lemon Protection Hand Sanitizer,50 ml,Rs.25
Godrej Protekt Germ Protection Hand Sanitizer (Bottle),100 ml,Rs.43
Godrej Protekt Germ Protection Hand Sanitizer (Bottle) - Buy 4 Get 1 Free,5x100 ml,Rs.200
Trust Hand Sanitizer (Bottle) - Buy 2 Get 1 Free,3x200 ml,Rs.200
O'range - Lemon Protection Hand Sanitizer - Pack of 5,5x50 ml,Rs.110
Dabur Sanitize Gamma Rub Hand Sanitizer,450 ml,Rs.225
Mediker Hand Sanitizer (Bottle),200 ml,Rs.100
Savlon Surface Disinfectant Spray,170 g,Rs.159
Veggie Clean Fruit & Vegetable Wash (Bottle),200 ml,Rs.89
Dettol Fresh Linen Laundry Disinfectant,960 ml,Rs.275
Ciphands Daily Surface Disinfectant Spray,75 ml,Rs.102
Dettol Spring Blossom Laundry Disinfectant,960 ml,Rs.275
"Dettol Surface Spray Sanitizer for Germ-Protection on Hard & Soft Surfaces, Original Pine Disinfectant (Spray)",170 g,Rs.159
Bod Guard FSP291 Alcohol Based Refreshing Lemon Hand Sanitizer 500 ml with Natural Mosquito Repellent Sray 100 ml Combo,500 ml + 100 ml,Rs.485
Bod Guard FSP312 Lavender Hand Sanitizer 500 ml with Multipurpose Alcohol Based Disinfectant Spray 300 ml Combo,500 ml + 300 ml,Rs.572
Bod Guard FSP313 Lavender Hand Sanitizer 500 ml with Multipurpose Alcohol Based Disinfectant Spray 500 ml Combo,500 ml + 500 ml,Rs.708
Bod Guard FSP309 Aloe Vera Hand Sanitizer 500 ml with Multipurpose Alcohol Based Disinfectant Spray 500 ml Combo,500 ml + 500 ml,Rs.708
Bod Guard FSP311 Refreshing Lemon Hand Sanitizer 500 ml with Multipurpose Alcohol Based Disinfectant Spray 500 ml Combo,500 ml + 500 ml,Rs.708
Bod Guard FSP292 Alcohol Based Refreshing Lemon Hand Sanitizer 500 ml with Paraben Free Baby Wet Wipes 72 Pcs Combo,500 ml + 72 units,Rs.436
Bod Guard FSP310 Refreshing Lemon Hand Sanitizer 500 ml with Multipurpose Alcohol Based Disinfectant Spray 300 ml Combo,500 ml + 300 ml,Rs.572
Bod Guard FSP308 Aloe Vera Hand Sanitizer 500 ml with Multipurpose Alcohol Based Disinfectant Spray 300 ml Combo,500 ml + 300 ml,Rs.572
Veg Wash + Fruit & Vegetable Wash (Bottle),375 ml,Rs.135
